FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
43,1769589431258,0.477784,87.9089,527.6170,-390.1620,0.519285,0.482693,-0.417867,0.568100,1.219846,1.133888,-0.981605,-0.394465,-0.287786,0.256684,2.513129,-1.559743,-0.152788,87.915952,527.635171,-390.131448,0.519278,0.482691,-0.417871,0.568105
44,1769589431269,0.488895,87.8881,527.6472,-390.1439,0.519278,0.482693,-0.417883,0.568095,1.219831,1.133889,-0.981644,-0.394464,-0.287790,0.256725,2.513090,-1.559666,-0.152896,87.869110,527.638176,-390.145671,0.519288,0.482685,-0.417859,0.568110
45,1769589431281,0.500006,87.8067,527.6393,-390.1618,0.519284,0.482672,-0.417849,0.568133,1.219824,1.133821,-0.981549,-0.394467,-0.287777,0.256717,2.513069,-1.559725,-0.152886,87.811114,527.637338,-390.138843,0.519294,0.482684,-0.417838,0.568120
46,1769589431292,0.511117,87.7523,527.6285,-390.0907,0.519322,0.482689,-0.417786,0.568129,1.219917,1.133863,-0.981403,-0.394478,-0.287772,0.256714,2.513054,-1.559742,-0.152880,87.753962,527.622910,-390.120219,0.519295,0.482692,-0.417819,0.568127
47,1769589431303,0.522229,87.7308,527.5978,-390.0871,0.519289,0.482705,-0.417807,0.568131,1.219839,1.133901,-0.981451,-0.394461,-0.287764,0.256703,2.513082,-1.559791,-0.152825,87.747605,527.595138,-390.097176,0.519295,0.482702,-0.417808,0.568127
48,1769589431314,0.533340,87.7600,527.5738,-390.1182,0.519277,0.482712,-0.417838,0.568112,1.219820,1.133926,-0.981531,-0.394469,-0.287784,0.256695,2.513112,-1.559715,-0.152795,87.789648,527.586933,-390.077381,0.519294,0.482702,-0.417821,0.568118
49,1769589431325,0.544451,87.8922,527.5850,-390.0330,0.519297,0.482692,-0.417831,0.568117,1.219865,1.133876,-0.981513,-0.394482,-0.287759,0.256703,2.513034,-1.559825,-0.152867,87.845538,527.598933,-390.065738,0.519287,0.482689,-0.417839,0.568121
50,1769589431336,0.555562,87.9051,527.6395,-390.0595,0.519309,0.482650,-0.417847,0.568130,1.219885,1.133771,-0.981546,-0.394482,-0.287755,0.256711,2.513047,-1.559810,-0.152881,87.903843,527.623962,-390.032224,0.519307,0.482665,-0.417837,0.568126
51,1769589431347,0.566674,87.9171,527.6566,-390.0250,0.519302,0.482650,-0.417832,0.568147,1.219861,1.133764,-0.981503,-0.394493,-0.287756,0.256708,2.512995,-1.559824,-0.152823,87.937933,527.647424,-390.035676,0.519316,0.482635,-0.417833,0.568146
52,1769589431358,0.577785,87.9594,527.6517,-390.0358,0.519344,0.482613,-0.417821,0.568148,1.219959,1.133676,-0.981478,-0.394476,-0.287761,0.256693,2.513066,-1.559822,-0.152796,87.947781,527.652119,-390.092033,0.519317,0.482618,-0.417837,0.568157
53,1769589431369,0.588896,87.9537,527.6519,-390.1878,0.519301,0.482595,-0.417844,0.568185,1.219838,1.133617,-0.981517,-0.394489,-0.287752,0.256692,2.513063,-1.559842,-0.152851,87.957881,527.658786,-390.141281,0.519318,0.482607,-0.417837,0.568165
54,1769589431381,0.600007,87.9639,527.6553,-390.2118,0.519320,0.482615,-0.417842,0.568153,1.219900,1.133678,-0.981526,-0.394473,-0.287750,0.256705,2.513038,-1.559840,-0.152829,87.955010,527.674410,-390.190914,0.519323,0.482604,-0.417829,0.568169
55,1769589431392,0.611119,87.9299,527.7164,-390.1713,0.519333,0.482598,-0.417813,0.568177,1.219918,1.133627,-0.981446,-0.394488,-0.287743,0.256693,2.513046,-1.559873,-0.152822,87.940367,527.693814,-390.189876,0.519328,0.482607,-0.417813,0.568174
