FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
39,1769589272826,0.433339,-0.394413,-0.287867,0.256703,0.519309,0.482796,-0.417654,0.568148,1.219876,1.134105,-0.981086,-0.394413,-0.287867,0.256703,2.513254,-1.559427,-0.15282,-0.392905,-0.292741,0.265112,2.691723,-1.411496,-0.096508
40,1769589272837,0.44445,-0.394425,-0.28786,0.256705,0.51931,0.482781,-0.417663,0.568153,1.219877,1.134068,-0.981104,-0.394425,-0.28786,0.256705,2.513227,-1.559466,-0.152812,-0.39298,-0.292745,0.265127,2.69173,-1.41152,-0.096537
41,1769589272848,0.455561,-0.394424,-0.287865,0.256724,0.519275,0.482764,-0.417664,0.568198,1.219772,1.134007,-0.981087,-0.394424,-0.287865,0.256724,2.513152,-1.559446,-0.152831,-0.392952,-0.29283,0.265125,2.691698,-1.411548,-0.096711
42,1769589272859,0.466673,-0.394419,-0.287857,0.256718,0.519263,0.482761,-0.417661,0.568214,1.219736,1.133992,-0.981075,-0.394419,-0.287857,0.256718,2.513226,-1.559469,-0.152881,-0.392952,-0.292832,0.265135,2.691679,-1.411554,-0.096765
43,1769589272870,0.477784,-0.394419,-0.287855,0.256667,0.519269,0.482768,-0.417675,0.568193,1.219759,1.13402,-0.981115,-0.394419,-0.287855,0.256667,2.513293,-1.559534,-0.152753,-0.392933,-0.292859,0.265128,2.691704,-1.411507,-0.096721
44,1769589272881,0.488895,-0.39442,-0.287863,0.25671,0.519285,0.482772,-0.417674,0.568175,1.219807,1.134038,-0.981122,-0.39442,-0.287863,0.25671,2.513214,-1.559481,-0.152796,-0.392906,-0.292819,0.265076,2.691747,-1.411521,-0.096647
45,1769589272893,0.500006,-0.39442,-0.287873,0.256702,0.519257,0.482783,-0.417674,0.568191,1.219733,1.134055,-0.981114,-0.39442,-0.287873,0.256702,2.513247,-1.559422,-0.152799,-0.39287,-0.292799,0.265125,2.691697,-1.411454,-0.096724
46,1769589272904,0.511117,-0.394424,-0.287854,0.256718,0.51926,0.482783,-0.417655,0.568203,1.219732,1.134048,-0.981064,-0.394424,-0.287854,0.256718,2.513187,-1.559485,-0.152852,-0.392869,-0.292756,0.265132,2.691634,-1.41148,-0.096727
47,1769589272915,0.522229,-0.394413,-0.287869,0.256714,0.519259,0.482781,-0.417663,0.5682,1.219732,1.134047,-0.981084,-0.394413,-0.287869,0.256714,2.513209,-1.559442,-0.152807,-0.392795,-0.292708,0.265123,2.691678,-1.411486,-0.096729
48,1769589272926,0.53334,-0.394417,-0.287859,0.256692,0.51927,0.482798,-0.417673,0.568167,1.219774,1.134102,-0.981123,-0.394417,-0.287859,0.256692,2.513273,-1.559453,-0.152792,-0.392778,-0.292724,0.265079,2.691727,-1.411427,-0.096637
49,1769589272937,0.544451,-0.394414,-0.287877,0.256704,0.51928,0.482786,-0.417674,0.568167,1.2198,1.134075,-0.981125,-0.394414,-0.287877,0.256704,2.513251,-1.559412,-0.152826,-0.392808,-0.292736,0.265088,2.69174,-1.411471,-0.09663
50,1769589272948,0.555562,-0.394418,-0.28787,0.256701,0.519289,0.482762,-0.417688,0.568169,1.219818,1.134017,-0.981157,-0.394418,-0.28787,0.256701,2.513246,-1.55946,-0.152804,-0.392943,-0.292798,0.265082,2.69176,-1.411519,-0.096649
