X_mm,Y_mm,Z_mm
145.3337,506.9177,-478.0438
145.3901,506.8795,-477.7176
145.4456,506.8382,-477.3914
145.5020,506.8053,-477.0647
145.5603,506.7877,-476.7371
145.6189,506.7791,-476.4090
145.6743,506.7712,-476.0802
145.7222,506.7606,-475.7504
145.7629,506.7473,-475.4197
145.8010,506.7335,-475.0886
145.8412,506.7230,-474.7577
145.8862,506.7188,-474.4273
145.9360,506.7199,-474.0977
145.9945,506.7275,-473.7702
146.0702,506.7465,-473.4476
146.1634,506.7772,-473.1298
146.2635,506.8129,-472.8139
146.3573,506.8472,-472.4963
146.4345,506.8761,-472.1743
146.4946,506.8989,-471.8477
146.5453,506.9155,-471.5187
146.5908,506.9240,-471.1885
146.6329,506.9253,-470.8577
146.6753,506.9237,-470.5268
146.7215,506.9218,-470.1965
146.7723,506.9205,-469.8668
146.8261,506.9222,-469.5379
146.8838,506.9370,-469.2112
146.9481,506.9773,-468.8885
147.0179,507.0389,-468.5693
147.0892,507.1061,-468.2509
147.1580,507.1607,-467.9304
147.2216,507.1911,-467.6058
147.2817,507.2048,-467.2784
147.3407,507.2137,-466.9502
147.3988,507.2215,-466.6218
147.4558,507.2286,-466.2932
147.5116,507.2351,-465.9643
147.5644,507.2409,-465.6351
147.6102,507.2450,-465.3048
147.6477,507.2470,-464.9735
147.6820,507.2464,-464.6418
147.7209,507.2383,-464.3111
147.7695,507.2169,-463.9825
147.8253,507.1865,-463.6553
147.8832,507.1572,-463.3283
147.9405,507.1366,-463.0005
147.9967,507.1242,-462.6720
148.0521,507.1162,-462.3432
148.1051,507.1129,-462.0139
148.1548,507.1159,-461.6841
148.2033,507.1222,-461.3542
148.2556,507.1272,-461.0249
148.3165,507.1280,-460.6972
148.3858,507.1246,-460.3711
148.4592,507.1181,-460.0458
148.5355,507.1054,-459.7215
148.6157,507.0819,-459.3989
148.6984,507.0507,-459.0773
148.7798,507.0187,-458.7556
148.8519,506.9944,-458.4317
148.9090,506.9827,-458.1040
148.9563,506.9784,-457.7740
148.9971,506.9733,-457.4433
149.0254,506.9620,-457.1120
149.0385,506.9427,-456.7798
149.0429,506.9200,-456.4471
149.0435,506.9003,-456.1143
149.0399,506.8883,-455.7811
149.0328,506.8831,-455.4477
149.0256,506.8806,-455.1142
149.0240,506.8787,-454.7810
149.0351,506.8770,-454.4481
149.0582,506.8755,-454.1156
149.0869,506.8736,-453.7832
149.1180,506.8697,-453.4511
149.1516,506.8626,-453.1193
149.1877,506.8537,-452.7879
149.2304,506.8464,-452.4579
149.2919,506.8456,-452.1319
149.3782,506.8536,-451.8113
149.4776,506.8662,-451.4935
149.5757,506.8778,-451.1751
149.6641,506.8849,-450.8540
149.7412,506.8873,-450.5298
149.8104,506.8896,-450.2039
149.8683,506.9011,-449.8765
149.9102,506.9276,-449.5476
149.9426,506.9629,-449.2177
149.9731,506.9990,-448.8874
150.0039,507.0307,-448.5569
150.0354,507.0553,-448.2258
150.0674,507.0755,-447.8943
150.0976,507.0919,-447.5628
150.1202,507.0960,-447.2311
150.1299,507.0795,-446.8992
150.1324,507.0510,-446.5672
150.1371,507.0231,-446.2352
150.1520,507.0041,-445.9033
150.1789,506.9959,-445.5714
150.2117,506.9946,-445.2396
150.2453,507.0018,-444.9083
150.2783,507.0243,-444.5779
150.3105,507.0611,-444.2483
150.3428,507.1010,-443.9191
150.3768,507.1267,-443.5897
150.4137,507.1258,-443.2598
150.4526,507.1059,-442.9297
150.4907,507.0778,-442.5996
150.5261,507.0428,-442.2699
150.5591,507.0022,-441.9405
150.5909,506.9600,-441.6111
150.6228,506.9225,-441.2816
150.6553,506.9004,-440.9514
150.6886,506.8990,-440.6204
150.7223,506.9085,-440.2888
150.7552,506.9176,-439.9571
150.7854,506.9176,-439.6253
150.8117,506.9051,-439.2933
150.8367,506.8870,-438.9613
150.8651,506.8750,-438.6297
150.9005,506.8767,-438.2986
150.9413,506.8894,-437.9680
150.9826,506.9053,-437.6374
151.0181,506.9191,-437.3062
151.0438,506.9285,-436.9740
151.0634,506.9348,-436.6411
