FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
70,1769589509324,0.777799,105.0447,537.2606,-392.2344,0.506226,0.501635,-0.477661,0.513748,1.216971,1.205934,-1.148301,-0.393077,-0.292565,0.265155,2.691138,-1.412119,-0.096879,105.028338,537.268419,-392.216443,0.506190,0.501605,-0.477700,0.513777
71,1769589509335,0.788911,105.0127,537.2664,-392.2223,0.506157,0.501593,-0.477719,0.513803,1.216777,1.205806,-1.148413,-0.393076,-0.292557,0.265139,2.691154,-1.412148,-0.096789,105.017352,537.249533,-392.231957,0.506169,0.501616,-0.477697,0.513790
72,1769589509347,0.800022,105.0321,537.2427,-392.2267,0.50618,0.501644,-0.477678,0.513769,1.216849,1.205946,-1.148332,-0.393091,-0.292546,0.265135,2.691102,-1.412228,-0.096757,105.028490,537.240600,-392.215424,0.506186,0.501625,-0.477696,0.513765
73,1769589509358,0.811133,105.0503,537.2105,-392.176,0.506154,0.501611,-0.477739,0.513771,1.216785,1.205864,-1.148478,-0.393094,-0.292548,0.265163,2.691047,-1.412212,-0.096821,105.046586,537.236771,-392.187152,0.506161,0.501623,-0.477723,0.513766
74,1769589509369,0.822245,105.0483,537.2515,-392.1606,0.506197,0.501636,-0.477729,0.513713,1.21692,1.205954,-1.14848,-0.393086,-0.292544,0.265154,2.691115,-1.412167,-0.096863,105.066614,537.238752,-392.160681,0.506149,0.501630,-0.477744,0.513752
75,1769589509380,0.833356,105.1259,537.2529,-392.1317,0.506081,0.501633,-0.477786,0.513778,1.216607,1.205913,-1.148586,-0.39309,-0.292544,0.265146,2.691121,-1.412193,-0.096805,105.090990,537.240895,-392.127829,0.506126,0.501640,-0.477774,0.513737
76,1769589509391,0.844467,105.0913,537.2516,-392.1094,0.506105,0.501638,-0.477808,0.513728,1.216692,1.205951,-1.148663,-0.39308,-0.292541,0.265141,2.69113,-1.412191,-0.096761,105.124148,537.253481,-392.110338,0.506099,0.501638,-0.477813,0.513729
77,1769589509402,0.855579,105.1706,537.2386,-392.0799,0.5061,0.501671,-0.477825,0.513685,1.216702,1.206054,-1.148727,-0.393075,-0.292543,0.26516,2.691096,-1.412196,-0.096785,105.182090,537.271181,-392.078119,0.506090,0.501639,-0.477842,0.513711
78,1769589509413,0.86669,105.2033,537.296,-392.0859,0.506064,0.501592,-0.477906,0.513723,1.216594,1.205843,-1.148903,-0.393083,-0.29255,0.265158,2.691067,-1.412151,-0.096762,105.180648,537.276667,-392.080195,0.506078,0.501646,-0.477862,0.513697
79,1769589509424,0.877801,105.2326,537.3043,-392.0529,0.506105,0.501678,-0.477838,0.513661,1.216727,1.206082,-1.148769,-0.393105,-0.292514,0.265146,2.691064,-1.412295,-0.096768,105.174686,537.266452,-392.093552,0.506062,0.501657,-0.477873,0.513691
80,1769589509435,0.888912,105.0584,537.2148,-392.1616,0.505991,0.501663,-0.477898,0.513733,1.216414,1.206009,-1.148878,-0.393102,-0.292512,0.265177,2.691033,-1.412268,-0.096874,105.165419,537.255010,-392.117000,0.506058,0.501638,-0.477903,0.513686
81,1769589509447,0.900024,105.123,537.2064,-392.1318,0.506087,0.501655,-0.477881,0.513662,1.216681,1.206027,-1.148872,-0.393078,-0.292531,0.265144,2.691131,-1.412198,-0.096721,105.100190,537.215943,-392.139062,0.506041,0.501655,-0.477874,0.513713
