,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1257,1776147901910,13.967999,-453.727,64.592,418.193,-0.169262,0.733877,-0.600955,0.267635,-0.456693,1.980106,-1.621463,-0.453727,0.064592,0.418193,1.000202,2.336119,0.001984
1258,1776147901922,13.97911,-453.716,64.631,418.173,-0.169435,0.733975,-0.600662,0.267915,-0.457094,1.980088,-1.620441,-0.453716,0.064631,0.418173,1.000264,2.335819,0.002003
1259,1776147901933,13.990221,-453.72,64.682,418.144,-0.169478,0.734003,-0.600511,0.268149,-0.457156,1.979928,-1.61984,-0.45372,0.064682,0.418144,1.00038,2.335441,0.001982
1260,1776147901944,14.001333,-453.721,64.813,418.059,-0.169759,0.733889,-0.600409,0.268511,-0.457829,1.979255,-1.619265,-0.453721,0.064813,0.418059,1.000503,2.334645,0.001929
1261,1776147901955,14.012444,-453.718,64.881,418.051,-0.169358,0.733884,-0.600546,0.26847,-0.456758,1.979282,-1.619671,-0.453718,0.064881,0.418051,1.000708,2.334308,0.001924
1262,1776147901966,14.023555,-453.694,65.014,418.036,-0.169596,0.733812,-0.600411,0.268821,-0.457317,1.978733,-1.619015,-0.453694,0.065014,0.418036,1.000961,2.333652,0.001812
1263,1776147901977,14.034666,-453.687,65.082,418.012,-0.169558,0.733915,-0.600269,0.268879,-0.457202,1.978953,-1.618586,-0.453687,0.065082,0.418012,1.001143,2.3333,0.001842
1264,1776147901988,14.045777,-453.684,65.193,417.983,-0.169574,0.733814,-0.60023,0.269233,-0.457163,1.978323,-1.618189,-0.453684,0.065193,0.417983,1.001436,2.332755,0.001792
1265,1776147901999,14.056889,-453.676,65.326,417.916,-0.169948,0.733713,-0.600093,0.269576,-0.45809,1.977707,-1.617536,-0.453676,0.065326,0.417916,1.001475,2.331891,0.001771
1266,1776147902010,14.068,-453.68,65.382,417.886,-0.169632,0.733695,-0.600059,0.269898,-0.457164,1.977333,-1.61718,-0.45368,0.065382,0.417886,1.001684,2.331435,0.001838
1267,1776147902022,14.079111,-453.651,65.443,417.906,-0.169812,0.733825,-0.599804,0.270001,-0.457625,1.977579,-1.616407,-0.453651,0.065443,0.417906,1.00181,2.331094,0.001833
1268,1776147902033,14.090222,-453.644,65.563,417.867,-0.169744,0.733871,-0.5997,0.270149,-0.457407,1.977555,-1.616004,-0.453644,0.065563,0.417867,1.002084,2.330245,0.00186
1269,1776147902044,14.101333,-453.628,65.645,417.857,-0.169899,0.733529,-0.599821,0.270711,-0.457694,1.976069,-1.615869,-0.453628,0.065645,0.417857,1.0022,2.329855,0.001846
1270,1776147902055,14.112445,-453.618,65.747,417.833,-0.169973,0.734012,-0.599257,0.270606,-0.457917,1.977474,-1.614436,-0.453618,0.065747,0.417833,1.002487,2.328989,0.002065
1271,1776147902066,14.123556,-453.598,65.834,417.819,-0.170232,0.733543,-0.599294,0.271631,-0.458377,1.975179,-1.613693,-0.453598,0.065834,0.417819,1.002607,2.32848,0.002043
1272,1776147902077,14.134667,-453.603,65.876,417.782,-0.169969,0.734042,-0.599014,0.271065,-0.4578,1.977093,-1.613404,-0.453603,0.065876,0.417782,1.00257,2.328002,0.002247
1273,1776147902088,14.145779,-453.576,66.015,417.777,-0.169948,0.73399,-0.599062,0.271111,-0.457733,1.976908,-1.613495,-0.453576,0.066015,0.417777,1.002911,2.32715,0.00232
1274,1776147902099,14.15689,-453.565,66.074,417.76,-0.170577,0.733911,-0.598522,0.272121,-0.45919,1.97568,-1.611212,-0.453565,0.066074,0.41776,1.002947,2.326639,0.002454
