XToGlobal1	YToGlobal1	ZToGlobal1
-69.412476	-997.498779	1203.821411
-69.436485	-997.577576	1203.902344
-69.436485	-997.577576	1203.902344
-69.436485	-997.577576	1203.902344
-69.449203	-997.524536	1203.982544
-69.417091	-997.52179	1203.888916
-69.345818	-997.721497	1203.796997
-69.364197	-997.820068	1203.749756
-69.017265	-997.859558	1203.837646
-68.896538	-997.858215	1203.823975
-68.453781	-997.915344	1203.786499
-68.200554	-997.950867	1203.753052
-67.880127	-997.984741	1203.831299
-67.45948	-997.976562	1203.930664
-66.895615	-998.113586	1203.794067
-66.340714	-998.166565	1203.925171
-65.92984	-998.343689	1203.974365
-65.254814	-998.397705	1204.009888
-64.862167	-998.595581	1204.022949
-63.95369	-998.656372	1204.391968
-63.276981	-998.609985	1204.54126
-62.381443	-998.849121	1205.079102
-61.547054	-998.852112	1205.334961
-60.719139	-999.118591	1205.469482
-59.770252	-999.309021	1205.848511
-58.617874	-999.386841	1206.494141
-57.59774	-999.555969	1206.565308
-56.335239	-999.596619	1207.114746
-55.128429	-999.974426	1207.414185
-53.864174	-999.930664	1208.31543
-52.312881	-1000.142334	1208.696045
-50.799278	-1000.443298	1209.283569
-49.397488	-1000.749512	1209.872437
-47.814354	-1001.069153	1210.276367
-45.907276	-1001.148071	1211.027466
-44.124084	-1001.540344	1211.720825
-41.613743	-1001.595154	1212.433105
-39.500286	-1001.757935	1213.631226
-37.191914	-1002.013794	1213.976318
-34.792294	-1002.265137	1215.038818
-32.2435	-1002.621216	1215.788208
-29.566946	-1002.916199	1216.429932
-26.499224	-1003.156677	1217.170776
-23.463682	-1003.649109	1217.877319
-19.907166	-1004.247681	1218.441284
-16.868153	-1004.924927	1219.031128
-13.149256	-1005.341797	1219.541992
-9.403469	-1005.913757	1220.555664
-5.319381	-1006.42511	1221.191772
-1.150445	-1007.135498	1222.174194
3.15163	-1007.60614	1223.348755
7.499979	-1008.495667	1224.157104
12.002442	-1009.414185	1224.771973
16.508549	-1010.402405	1225.680664
21.037306	-1011.476624	1226.313965
25.711731	-1012.686096	1227.299805
30.29501	-1013.822266	1227.789185
35.175892	-1015.451904	1228.660034
39.985538	-1016.866089	1229.286743
44.919621	-1018.726868	1230.164429
49.634167	-1020.245056	1230.842896
54.33638	-1022.03302	1231.845215
59.057007	-1023.89093	1232.484253
63.776676	-1025.753784	1233.461792
68.253754	-1027.727905	1234.127319
72.840439	-1029.665649	1235.071655
77.204292	-1031.686401	1235.612061
81.42926	-1033.85022	1236.485718
85.776489	-1035.763672	1237.442627
89.708031	-1037.779175	1237.980347
93.832481	-1039.807739	1239.047852
97.871315	-1041.837158	1239.479126
101.838196	-1043.919434	1240.375977
105.875282	-1045.951294	1241.097656
109.730705	-1047.938721	1241.791992
113.568901	-1050.11731	1242.29187
117.468102	-1052.082764	1243.159302
121.079071	-1054.243408	1243.546021
124.820251	-1056.430176	1244.605835
128.753189	-1058.547119	1245.508179
132.248718	-1060.714478	1246.006104
135.802002	-1062.863525	1246.47644
139.295197	-1064.990112	1247.379395
142.745865	-1067.194458	1248.099243
146.22998	-1069.415894	1248.789062
149.679932	-1071.755249	1249.442383
153.117676	-1073.898804	1250.299805
156.452362	-1076.314941	1250.900391
159.813583	-1078.604126	1251.806519
163.152328	-1081.016968	1252.450195
166.479691	-1083.425049	1253.087036
169.709229	-1085.743042	1253.983765
173.014526	-1088.368774	1254.860962
176.263336	-1090.796509	1255.424927
179.549774	-1093.354126	1256.194458
182.699448	-1095.771362	1256.764771
185.845337	-1098.420044	1257.771606
188.762527	-1101.247192	1258.650513
191.750595	-1103.835571	1259.177124
194.779327	-1106.598145	1260.087769
197.669067	-1109.221313	1260.898071
200.505676	-1111.88916	1261.529907
203.363617	-1114.593018	1262.514038
206.032227	-1117.418091	1262.706421
208.791641	-1120.178345	1263.898438
211.344559	-1122.783813	1264.720459
213.940247	-1125.350586	1265.419922
216.524551	-1128.045776	1266.074829
219.008698	-1130.538818	1266.831299
221.578232	-1133.224365	1267.541138
223.953094	-1135.62915	1268.106201
226.346527	-1138.169556	1269.046509
228.700806	-1140.745605	1269.87561
231.022018	-1143.065063	1269.967773
233.326035	-1145.606201	1270.720093
235.626999	-1147.977417	1271.562134
238.007706	-1150.482056	1272.35022
240.328232	-1152.827515	1272.873169
242.570877	-1154.986816	1273.169312
244.796387	-1157.309692	1273.670044
246.991516	-1159.603149	1274.01416
249.144638	-1161.859985	1274.575317
251.433807	-1164.027466	1274.812256
253.732422	-1166.317993	1275.348633
255.877838	-1168.499268	1275.618286
257.989136	-1170.647705	1275.978394
260.081879	-1172.846802	1276.383667
262.34198	-1175.131592	1277.005859
264.406128	-1177.371582	1277.165039
266.284821	-1179.968506	1277.006836
268.38382	-1181.985107	1277.588501
270.298218	-1184.241577	1277.744995
