FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
145,1769517771696,1.61113,-0.9122,457.9905,-239.2964,0.701653,0.290341,-0.266328,0.593679,1.630834,0.674831,-0.619019,-0.442784,-0.164612,0.196192,2.034649,-2.361457,0.139151,-0.446412,-0.16609,0.196351,-2.110838,2.282132,-0.202839
146,1769517771707,1.622241,-1.2648,458.0899,-238.9238,0.701674,0.290167,-0.266009,0.593882,1.630746,0.674371,-0.618226,-0.442653,-0.164053,0.196178,2.034598,-2.361516,0.13919,-0.44641,-0.165596,0.19646,-2.110181,2.283107,-0.203012
147,1769517771718,1.633352,-1.6361,457.7627,-238.5179,0.701663,0.290307,-0.265918,0.593867,1.630731,0.674699,-0.618019,-0.442615,-0.163752,0.196206,2.034459,-2.361518,0.139097,-0.446432,-0.165076,0.196149,-2.110482,2.283186,-0.203647
148,1769517771729,1.644463,-1.6322,458.1194,-238.619,0.701921,0.290305,-0.2661,0.593482,1.631587,0.674803,-0.618539,-0.4425,-0.163271,0.196235,2.034509,-2.361345,0.138978,-0.446205,-0.16519,0.196497,-2.110363,2.282516,-0.204016
149,1769517771740,1.655574,-2.0684,458.2947,-238.3739,0.701777,0.290203,-0.266388,0.593573,1.631193,0.67454,-0.619186,-0.442428,-0.163014,0.196223,2.034599,-2.361339,0.138939,-0.446005,-0.164641,0.196656,-2.110419,2.28203,-0.202616
150,1769517771751,1.666686,-2.4986,458.258,-238.1195,0.701587,0.290454,-0.2661,0.593804,1.630595,0.67506,-0.618456,-0.442372,-0.162794,0.196252,2.03463,-2.361155,0.138889,-0.445955,-0.164226,0.196616,-2.111036,2.282632,-0.203517
151,1769517771762,1.677797,-2.8692,458.2473,-237.9956,0.701761,0.290432,-0.266072,0.593622,1.631123,0.675059,-0.618438,-0.442253,-0.162248,0.196268,2.034528,-2.361251,0.138827,-0.445688,-0.163928,0.196593,-2.110806,2.282579,-0.204024
152,1769517771773,1.688908,-3.2964,458.4259,-237.7613,0.70188,0.290233,-0.266353,0.593452,1.631514,0.674644,-0.619134,-0.442212,-0.161973,0.196263,2.034475,-2.361257,0.138793,-0.445392,-0.163425,0.196759,-2.110379,2.281996,-0.203101
153,1769517771785,1.70002,-3.5222,458.1205,-237.5879,0.701867,0.290227,-0.266278,0.593505,1.631446,0.674615,-0.618947,-0.442084,-0.161495,0.196251,2.034552,-2.361198,0.138834,-0.445378,-0.163147,0.196456,-2.110327,2.282202,-0.203203
154,1769517771796,1.711131,-3.8565,458.1437,-237.3899,0.701904,0.290262,-0.266214,0.593472,1.631555,0.674705,-0.618806,-0.44202,-0.161235,0.19624,2.034495,-2.361256,0.138861,-0.445238,-0.162806,0.196476,-2.110342,2.282291,-0.203572
155,1769517771807,1.722242,-4.2394,458.1378,-237.2231,0.701633,0.290228,-0.266272,0.593783,1.630715,0.67454,-0.618862,-0.441958,-0.160978,0.196234,2.034504,-2.36119,0.138925,-0.445138,-0.162368,0.196453,-2.110535,2.282413,-0.202521
