FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
50,1769790311122,0.555563,617.2753,235.0995,-435.6762,0.675166,0.137448,-0.066379,0.721702,1.491440,0.303623,-0.146631,0.151369,-0.433848,0.280866,2.990171,0.094508,0.141839,617.292814,235.083719,-435.691981,0.675174,0.137452,-0.066404,0.721691
51,1769790311133,0.566674,617.2997,235.1790,-435.6771,0.675193,0.137460,-0.066415,0.721671,1.491518,0.303652,-0.146712,0.151359,-0.433857,0.280853,2.990179,0.094535,0.141799,617.274062,235.055129,-435.683052,0.675194,0.137461,-0.066436,0.721668
52,1769790311144,0.577786,617.2675,234.8747,-435.6877,0.675192,0.137460,-0.066468,0.721667,1.491517,0.303654,-0.146830,0.151375,-0.433839,0.280865,2.990165,0.094597,0.141827,617.250357,235.024957,-435.660252,0.675164,0.137446,-0.066458,0.721696
53,1769790311155,0.588897,617.2154,234.9538,-435.6432,0.675167,0.137434,-0.066541,0.721688,1.491450,0.303594,-0.146990,0.151373,-0.433850,0.280861,2.990165,0.094614,0.141777,617.246271,234.945848,-435.634781,0.675122,0.137418,-0.066465,0.721741
54,1769790311167,0.600008,617.2455,234.9887,-435.5852,0.674996,0.137352,-0.066415,0.721876,1.490964,0.303391,-0.146701,0.151356,-0.433851,0.280869,2.990156,0.094524,0.141785,617.261976,234.885990,-435.630238,0.675104,0.137384,-0.066477,0.721762
55,1769790311178,0.611119,617.3272,234.8130,-435.6365,0.675142,0.137355,-0.066463,0.721734,1.491368,0.303413,-0.146815,0.151358,-0.433856,0.280881,2.990108,0.094544,0.141757,617.311876,234.908286,-435.638681,0.675124,0.137349,-0.066508,0.721748
56,1769790311189,0.622231,617.3721,234.8856,-435.6989,0.675205,0.137344,-0.066599,0.721664,1.491548,0.303397,-0.147119,0.151356,-0.433848,0.280854,2.990204,0.094521,0.141789,617.366986,234.890352,-435.659705,0.675167,0.137328,-0.066552,0.721707
57,1769790311200,0.633342,617.3960,234.9194,-435.6726,0.675221,0.137309,-0.066640,0.721652,1.491591,0.303321,-0.147211,0.151356,-0.433848,0.280851,2.990204,0.094521,0.141789,617.383629,234.866995,-435.677414,0.675215,0.137328,-0.066619,0.721656
58,1769790311211,0.644453,617.3729,234.8665,-435.6599,0.675192,0.137324,-0.066628,0.721678,1.491511,0.303350,-0.147184,0.151371,-0.433844,0.280852,2.990201,0.094595,0.141804,617.380610,234.868252,-435.674262,0.675197,0.137323,-0.066650,0.721671
59,1769790311222,0.655564,617.3308,234.7771,-435.6710,0.675165,0.137334,-0.066630,0.721700,1.491440,0.303372,-0.147186,0.151369,-0.433845,0.280864,2.990191,0.094570,0.141803,617.344110,234.806100,-435.674710,0.675180,0.137319,-0.066635,0.721689
60,1769790311233,0.666676,617.3344,234.7672,-435.6937,0.675175,0.137319,-0.066641,0.721694,1.491464,0.303337,-0.147209,0.151363,-0.433850,0.280869,2.990166,0.094566,0.141787,617.300938,234.731952,-435.685424,0.675170,0.137330,-0.066606,0.721699
61,1769790311244,0.677787,617.2217,234.6718,-435.7131,0.675194,0.137313,-0.066583,0.721682,1.491513,0.303326,-0.147082,0.151376,-0.433840,0.280851,2.990191,0.094606,0.141781,617.255400,234.693000,-435.702467,0.675196,0.137319,-0.066608,0.721677
62,1769790311255,0.688898,617.2210,234.6581,-435.7045,0.675201,0.137334,-0.066583,0.721671,1.491536,0.303373,-0.147084,0.151357,-0.433838,0.280862,2.990184,0.094477,0.141802,617.205233,234.682086,-435.736671,0.675217,0.137310,-0.066627,0.721657
63,1769790311267,0.700009,617.1629,234.7139,-435.7573,0.675277,0.137271,-0.066699,0.721602,1.491741,0.303242,-0.147344,0.151358,-0.433848,0.280859,2.990178,0.094547,0.141787,617.148786,234.690019,-435.747624,0.675237,0.137299,-0.066653,0.721637
64,1769790311278,0.711121,617.1281,234.7207,-435.7971,0.675218,0.137293,-0.066690,0.721654,1.491581,0.303285,-0.147321,0.151374,-0.433843,0.280877,2.990131,0.094591,0.141800,617.147838,234.722081,-435.753795,0.675244,0.137276,-0.066671,0.721634
65,1769790311289,0.722232,617.1353,234.7533,-435.7071,0.675266,0.137254,-0.066667,0.721618,1.491708,0.303204,-0.147271,0.151361,-0.433845,0.280860,2.990177,0.094560,0.141800,617.174843,234.753076,-435.749462,0.675259,0.137250,-0.066687,0.721624
66,1769790311300,0.733343,617.2563,234.7603,-435.7419,0.675248,0.137217,-0.066641,0.721645,1.491654,0.303118,-0.147214,0.151368,-0.433840,0.280867,2.990156,0.094565,0.141777,617.217610,234.768324,-435.733895,0.675266,0.137233,-0.066675,0.721621
67,1769790311311,0.744454,617.2849,234.7980,-435.7247,0.675309,0.137216,-0.066718,0.721581,1.491825,0.303124,-0.147387,0.151358,-0.433843,0.280860,2.990180,0.094504,0.141837,617.250829,234.786771,-435.726295,0.675296,0.137209,-0.066670,0.721598
68,1769790311322,0.755565,617.2416,234.7820,-435.7410,0.675289,0.137193,-0.066660,0.721609,1.491764,0.303070,-0.147257,0.151361,-0.433846,0.280859,2.990190,0.094560,0.141801,617.275367,234.785243,-435.739624,0.675272,0.137191,-0.066662,0.721625
69,1769790311333,0.766677,617.2644,234.7877,-435.7360,0.675278,0.137184,-0.066639,0.721623,1.491732,0.303049,-0.147211,0.151337,-0.433854,0.280905,2.990059,0.094474,0.141749,617.284205,234.782510,-435.734043,0.675259,0.137180,-0.066661,0.721639
70,1769790311344,0.777788,617.3286,234.7496,-435.7266,0.675181,0.137154,-0.066647,0.721719,1.491463,0.302970,-0.147222,0.151348,-0.433851,0.280874,2.990133,0.094494,0.141769,617.319952,234.754210,-435.715386,0.675247,0.137169,-0.066658,0.721652
71,1769790311355,0.788899,617.3442,234.7606,-435.7052,0.675290,0.137176,-0.066693,0.721608,1.491768,0.303032,-0.147329,0.151352,-0.433843,0.280887,2.990107,0.094526,0.141756,617.332281,234.748681,-435.703524,0.675260,0.137166,-0.066674,0.721640
72,1769790311367,0.800010,617.3392,234.7130,-435.6743,0.675308,0.137166,-0.066691,0.721593,1.491816,0.303011,-0.147326,0.151349,-0.433850,0.280893,2.990096,0.094489,0.141803,617.310971,234.763724,-435.720224,0.675305,0.137165,-0.066676,0.721597
73,1769790311378,0.811122,617.2027,234.7938,-435.7534,0.675325,0.137169,-0.066657,0.721580,1.491862,0.303019,-0.147252,0.151347,-0.433852,0.280883,2.990105,0.094504,0.141827,617.230476,234.748038,-435.731738,0.675336,0.137171,-0.066667,0.721569
74,1769790311389,0.822233,617.1782,234.7790,-435.7770,0.675366,0.137166,-0.066646,0.721543,1.491973,0.303019,-0.147230,0.151347,-0.433851,0.280895,2.990074,0.094465,0.141802,617.155748,234.739095,-435.738867,0.675318,0.137165,-0.066663,0.721586
75,1769790311400,0.833344,617.0585,234.6448,-435.6929,0.675261,0.137175,-0.066671,0.721638,1.491685,0.303028,-0.147280,0.151364,-0.433834,0.280874,2.990140,0.094574,0.141810,617.101067,234.735738,-435.711171,0.675297,0.137171,-0.066669,0.721605
76,1769790311411,0.844455,617.1171,234.7584,-435.6781,0.675281,0.137161,-0.066711,0.721617,1.491743,0.302998,-0.147369,0.151340,-0.433849,0.280875,2.990144,0.094470,0.141780,617.091919,234.714214,-435.676676,0.675293,0.137177,-0.066691,0.721605
77,1769790311422,0.855566,617.1122,234.7283,-435.6237,0.675291,0.137197,-0.066689,0.721604,1.491771,0.303079,-0.147322,0.151346,-0.433841,0.280837,2.990250,0.094491,0.141814,617.112981,234.707643,-435.663662,0.675294,0.137182,-0.066699,0.721603
78,1769790311433,0.866678,617.1626,234.7139,-435.7145,0.675356,0.137186,-0.066724,0.721541,1.491952,0.303062,-0.147402,0.151332,-0.433850,0.280862,2.990166,0.094458,0.141779,617.191243,234.731305,-435.677500,0.675327,0.137187,-0.066716,0.721569
79,1769790311444,0.877789,617.2653,234.7200,-435.7019,0.675318,0.137180,-0.066710,0.721580,1.491845,0.303044,-0.147370,0.151339,-0.433842,0.280880,2.990130,0.094496,0.141755,617.255367,234.746371,-435.701938,0.675337,0.137188,-0.066745,0.721557
80,1769790311455,0.888900,617.3530,234.8039,-435.7075,0.675345,0.137190,-0.066807,0.721543,1.491926,0.303072,-0.147585,0.151345,-0.433847,0.280883,2.990108,0.094490,0.141779,617.334948,234.797419,-435.729376,0.675334,0.137182,-0.066782,0.721558
81,1769790311467,0.900011,617.3402,234.8635,-435.7493,0.675320,0.137173,-0.066821,0.721569,1.491857,0.303029,-0.147616,0.151348,-0.433847,0.280872,2.990120,0.094495,0.141769,617.347395,234.838581,-435.727010,0.675322,0.137175,-0.066804,0.721568
82,1769790311478,0.911123,617.3555,234.8658,-435.7337,0.675311,0.137175,-0.066807,0.721578,1.491831,0.303033,-0.147584,0.151333,-0.433856,0.280850,2.990202,0.094452,0.141819,617.305857,234.858657,-435.734271,0.675318,0.137171,-0.066826,0.721571
83,1769790311489,0.922234,617.2000,234.8325,-435.7200,0.675325,0.137154,-0.066813,0.721568,1.491868,0.302988,-0.147598,0.151345,-0.433848,0.280857,2.990168,0.094487,0.141784,617.251838,234.851462,-435.733648,0.675314,0.137165,-0.066819,0.721576
84,1769790311500,0.933346,617.2039,234.8411,-435.7309,0.675311,0.137174,-0.066839,0.721575,1.491834,0.303033,-0.147654,0.151347,-0.433847,0.280876,2.990126,0.094547,0.141780,617.215014,234.847876,-435.721586,0.675333,0.137166,-0.066813,0.721558
85,1769790311511,0.944458,617.2234,234.8499,-435.7217,0.675352,0.137169,-0.066817,0.721540,1.491943,0.303024,-0.147607,0.151342,-0.433842,0.280883,2.990119,0.094489,0.141755,617.209424,234.844981,-435.716152,0.675347,0.137175,-0.066836,0.721542
86,1769790311522,0.955569,617.2263,234.8603,-435.7095,0.675371,0.137180,-0.066830,0.721519,1.491996,0.303051,-0.147638,0.151334,-0.433847,0.280857,2.990178,0.094476,0.141757,617.233481,234.841871,-435.723181,0.675341,0.137183,-0.066853,0.721544
87,1769790311533,0.966680,617.2587,234.8140,-435.7221,0.675322,0.137192,-0.066924,0.721554,1.491868,0.303073,-0.147844,0.151347,-0.433843,0.280871,2.990143,0.094482,0.141819,617.233319,234.834319,-435.731186,0.675335,0.137174,-0.066881,0.721549
