FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
65,1769790336078,0.722239,615.3508,244.2431,-422.5656,0.691456,0.187608,-0.117064,0.687742,1.547628,0.419906,-0.262015,0.147745,-0.434919,0.288740,3.051158,0.315821,0.147641,615.400557,244.103510,-422.563800,0.691090,0.187666,-0.116899,0.688121
66,1769790336089,0.733351,615.4879,244.4981,-422.5905,0.691118,0.188311,-0.117485,0.687817,1.546825,0.421468,-0.262949,0.147836,-0.434883,0.288859,3.051269,0.317862,0.147789,615.453357,244.382062,-422.631257,0.691196,0.188224,-0.117481,0.687763
67,1769790336100,0.744462,615.5115,244.5360,-422.8512,0.691149,0.188853,-0.118106,0.687531,1.547068,0.422729,-0.264370,0.147998,-0.434784,0.289136,3.051397,0.321779,0.147936,615.543133,244.546267,-422.669105,0.691251,0.188869,-0.118162,0.687414
68,1769790336111,0.755573,615.6530,244.4162,-422.4882,0.691230,0.189402,-0.118682,0.687199,1.547450,0.424013,-0.265693,0.148066,-0.434725,0.289249,3.051562,0.323593,0.148055,615.625443,244.559767,-422.603724,0.691114,0.189605,-0.118825,0.687235
69,1769790336132,0.776254,615.6809,244.7011,-422.5262,0.691117,0.190503,-0.119707,0.686830,1.547421,0.426538,-0.268026,0.148304,-0.434582,0.289628,3.051749,0.329090,0.148405,615.675881,244.664567,-422.549319,0.691165,0.190337,-0.119521,0.686861
70,1769790336143,0.787365,615.7458,244.7746,-422.4801,0.691096,0.191103,-0.120175,0.686604,1.547509,0.427920,-0.269096,0.148367,-0.434539,0.289738,3.051843,0.330833,0.148486,615.749005,244.770152,-422.463348,0.691159,0.191074,-0.120133,0.686555
71,1769790336154,0.798476,615.7953,244.9564,-422.5421,0.691274,0.191640,-0.120591,0.686201,1.548153,0.429189,-0.270072,0.148514,-0.434444,0.289933,3.052038,0.334182,0.148767,615.823848,244.843867,-422.522990,0.691176,0.191681,-0.120690,0.686271
72,1769790336165,0.809587,615.9551,244.7888,-422.4782,0.691172,0.192165,-0.121139,0.686061,1.548008,0.430389,-0.271314,0.148581,-0.434397,0.290030,3.052142,0.335746,0.148951,615.921400,244.854476,-422.538200,0.691223,0.192117,-0.121191,0.686014
73,1769790336176,0.820699,616.0750,244.8685,-422.6185,0.691296,0.192512,-0.121732,0.685734,1.548483,0.431221,-0.272675,0.148648,-0.434342,0.290126,3.052256,0.337287,0.149097,616.090667,244.961305,-422.538624,0.691260,0.192569,-0.121672,0.685764
74,1769790336187,0.831810,616.2167,245.1152,-422.5097,0.691303,0.193017,-0.122245,0.685493,1.548646,0.432394,-0.273850,0.148824,-0.434223,0.290281,3.052531,0.340539,0.149503,616.281100,245.103443,-422.502362,0.691362,0.193016,-0.122134,0.685453
75,1769790336198,0.842921,616.5419,245.3971,-422.4629,0.691454,0.193478,-0.122377,0.685187,1.549170,0.433479,-0.274180,0.148887,-0.434184,0.290360,3.052626,0.341936,0.149694,616.460538,245.280905,-422.533590,0.691505,0.193460,-0.122551,0.685110
76,1769790336210,0.854033,616.5859,245.4137,-422.5003,0.691725,0.193939,-0.122931,0.684684,1.550081,0.434596,-0.275475,0.148932,-0.434148,0.290442,3.052737,0.343262,0.149803,616.596148,245.433386,-422.529195,0.691575,0.193944,-0.122884,0.684843
77,1769790336221,0.865144,616.6738,245.4612,-422.6790,0.691577,0.194376,-0.123295,0.684644,1.549775,0.435584,-0.276294,0.149065,-0.434046,0.290543,3.053053,0.346054,0.150148,616.662786,245.573233,-422.550714,0.691585,0.194403,-0.123197,0.684647
78,1769790336232,0.876255,616.6369,245.7328,-422.5155,0.691510,0.194881,-0.123460,0.684539,1.549688,0.436732,-0.276676,0.149129,-0.434011,0.290645,3.053059,0.347287,0.150329,616.637638,245.679867,-422.579052,0.691579,0.194862,-0.123539,0.684460
79,1769790336243,0.887366,616.6436,245.8758,-422.5395,0.691520,0.195277,-0.123819,0.684351,1.549825,0.437653,-0.277502,0.149242,-0.433913,0.290789,3.053234,0.349815,0.150598,616.643629,245.819343,-422.575900,0.691597,0.195270,-0.123852,0.684268
80,1769790336254,0.898478,616.6290,245.8289,-422.6353,0.691744,0.195660,-0.124190,0.683948,1.550572,0.438579,-0.278376,0.149293,-0.433893,0.290886,3.053193,0.350975,0.150662,616.678771,245.879471,-422.580781,0.691657,0.195624,-0.124181,0.684047
81,1769790336265,0.909589,616.7666,245.9040,-422.6202,0.691740,0.195911,-0.124596,0.683806,1.550648,0.439166,-0.279302,0.149361,-0.433857,0.290953,3.053259,0.352156,0.150870,616.765557,245.867581,-422.672890,0.691647,0.195946,-0.124514,0.683905
82,1769790336276,0.920700,616.8669,245.7814,-422.7422,0.691558,0.196247,-0.124771,0.683861,1.550207,0.439911,-0.279687,0.149434,-0.433792,0.291095,3.053389,0.354096,0.151158,616.828524,245.776610,-422.742129,0.691635,0.196295,-0.124816,0.683761
83,1769790336287,0.931811,616.8869,245.8162,-422.8120,0.691506,0.196643,-0.125061,0.683748,1.550158,0.440817,-0.280351,0.149483,-0.433769,0.291163,3.053389,0.355165,0.151266,616.850890,245.785324,-422.748790,0.691616,0.196606,-0.125111,0.683638
